Episode,Score,Avg100,Epsilon,Loss,Greedy_Eval
257,103,102.81,0.458,0.7793,110
258,107,102.85,0.456,0.8107,107
259,97,102.87,0.454,0.722,105
260,93,102.7,0.452,0.748,109
261,98,102.67,0.45,0.8569,109
262,115,102.78,0.448,1.1538,110
263,115,102.85,0.445,0.8744,106
264,109,103.01,0.443,0.8392,109
265,104,103.04,0.441,0.8407,108
266,106,103.03,0.439,0.9164,112
267,107,103.0,0.437,0.838,108
